referencia,nombre,categoria,precio,stock,costo
WH4933547,RESBALON APOYO HOJA PASIVA IZQ. (RT.DFE-TFE.S.LS),RESBALON DE APOYO,242,6,0
WH4927494,RESBALON INFERIOR GRIS (AL.M.F12),RESBALON DE APOYO,361,6,0
WH1930470,SOPORTE BISAGRA AL CANTO BLANCO (ESV 6-3-16),VARIOS,1205,6,0
WH1930488,SOPORTE BISAGRA AL CANTO MARRON (ESV 6-3-16),VARIOS,1205,6,0
WH2893421,SOPORTE BISAGRA AL CANTO PLATA (ESV 6-3-16 SL),VARIOS,873,6,0
WH4993658,SOPORTE DE COMPAS (SL.KS 3-6),VARIOS,2050,6,0
WH4936343,TOPE GOMA BLANCO (GP.K.S.25),VARIOS,8712,6,0
WH4936345,TOPE GOMA NEGRO (GP.K.S.25 SC),VARIOS,8712,6,0
WH4936654,RETENEDOR ZSS.OS1 <=600MM,VARIOS,147,6,0
WH4936655,RETENEDOR ZSS.OS2 >=600MM,VARIOS,147,6,0
WH5008893,LLAVE REGULADORA HV-11 (METAL),VARIOS,916,6,0
WH4941703,AIREADOR DENTADO DERECHO (MSL-OS.RS),VARIOS,2087,6,0
WH4941704,AIREADOR DENTADO IZQUIERDO (MSL-OS.LS),VARIOS,2087,6,0
012TA10MBL,TAPA TORNILLO BLANCO,VARIOS,28,6,0
012TA10MNG,TAPA TORNILLO MARRON,VARIOS,28,6,0
WH4934243,PLETINA SUPERIOR OS.SE.550,HERRAJE OCULTO OSCILOBATIENTE,3780,6,0
WH4934245,PLETINA SUPERIOR OS.SE.1025-1,HERRAJE OCULTO OSCILOBATIENTE,5354,6,0
WH4934246,PLETINA SUPERIOR OS.SE.1250-1,HERRAJE OCULTO OSCILOBATIENTE,5987,6,0
WH4938496,SOPORTE MARCO EL.K.SE.152.RS,HERRAJE OCULTO OSCILOBATIENTE,5987,6,0
WH4938642,SOPORTE MARCO EL.K.SE.152.LS,HERRAJE OCULTO OSCILOBATIENTE,5987,6,0
WH4988245,SOPORTE HOJA FL.SE.1,HERRAJE OCULTO OSCILOBATIENTE,5886,6,0
WH4931884,BRAZO COMPAS SK.SE.152.RS,HERRAJE OCULTO OSCILOBATIENTE,8550,6,0
WH4931885,BRAZO COMPAS SK.SE.152.LS,HERRAJE OCULTO OSCILOBATIENTE,8550,6,0
WH4931888,FALSO COMPAS DL.K.SE.152.RS,HERRAJE OCULTO OSCILOBATIENTE,8043,6,0
WH4931889,FALSO COMPAS DL.K.SE.152.LS,HERRAJE OCULTO OSCILOBATIENTE,8043,6,0
WH4934244,PLETINA SUPERIOR OS.SE.880,HERRAJE OCULTO OSCILOBATIENTE,4262,6,0
WH4931379,GUIA FALSO COMPAS DLS.K.SE.9-13,HERRAJE OCULTO OSCILOBATIENTE,2994,6,0
040CRE1951,CREMONA PRACT. D-19.5 C.VAR. (GAVM 400-2),CREMONAS,4505,6,0
040CRE1952,CREMONA PRACT. D-19.5 C.VAR. (GAVM 600-2),CREMONAS,5181,6,0
040CRE1953,CREMONA PRACT. D-19.5 C.VAR. (GAVM 800-2),CREMONAS,6001,6,0
040CRE1954,CREMONA PRACT. D-19.5 C.VAR. (GAVM 1000-3),CREMONAS,6722,6,0
040CRE1955,CREMONA PRACT. D-19.5 C.VAR. (GAVM 1200-3),CREMONAS,7384,6,0
040CRE1956,CREMONA PRACT. D-19.5 C.VAR. (GAVM 1400-3),CREMONAS,8270,6,0
040CRE1957,CREMONA PRACT. D-19.5 C.VAR. (GAVM 1600-3),CREMONAS,10347,6,0
040CRE2551,CREMONA PRACT. D-25.5 C.VAR. (GAVM 400-2),CREMONAS,7997,6,0
040CRE2552,CREMONA PRACT. D-25.5 C.VAR. (GAVM 600-2),CREMONAS,8341,6,0
040CRE2553,CREMONA PRACT. D-25.5 C.VAR. (GAVM 800-2),CREMONAS,8865,6,0
040CRE2554,CREMONA PRACT. D-25.5 C.VAR. (GAVM 1000-3),CREMONAS,10152,6,0
040CRE2555,CREMONA PRACT. D-25.5 C.VAR. (GAVM 1200-3),CREMONAS,12019,6,0
040CRE2556,CREMONA PRACT. D-25.5 C.VAR. (GAVM 1400-3),CREMONAS,12432,6,0
040CRE2557,CREMONA PRACT. D-25.5 C. VAR. (GAVM 1600-3),CREMONAS,15857,6,0
040CRE2558,CREMONA PRACT. D-25.5 C.VAR. (GAVM 1800-4),CREMONAS,17836,6,0
"003BRLACI6,LIMITADOR RESTRICTOR ARM.6"",BRAZOS ACERO INOXIDABLE,3523,6,0"
"003BRLACIN,LIMITADOR RESTRICTOR ARM.10"",BRAZOS ACERO INOXIDABLE,4245,6,0"
"003COAIR10,BRAZO AC.INOX.REFORZADO AUSTENITICO COTS 10"",BRAZOS ACERO INOXIDABLE,14380,6,0"
"003COAIR16,BRAZO AC.INOX.REFORZADO AUSTENITICO COTS 16"",BRAZOS ACERO INOXIDABLE,19147,6,0"
